Skills,Interest,Personality,Career
Python MachineLearning Statistics,AI Research,Analytical,Data Scientist
Java Algorithms ProblemSolving,Software Development,Logical,Software Engineer
Biology Chemistry Research,Medical Healthcare,Compassionate,Doctor
Accounting Finance Excel,Business Management,Organized,Accountant
Drawing Creativity Photoshop,Arts Design,Creative,Graphic Designer
Marketing Communication Sales,Business Growth,Extrovert,Marketing Manager
Networking Linux Security,Technology Systems,Technical,Cyber Security Analyst
Teaching Communication SubjectKnowledge,Education,Patient,Teacher
Mechanical Physics Mathematics,Engineering Machines,Practical,Mechanical Engineer
Writing Creativity Literature,Media Publishing,Expressive,Content Writer
